kabu_kota,indeks_kedalaman_kemiskinan_p1,indeks_keparahan_kemiskinan_p2,jum_penduduk_miskin,persen_penduduk_miskin,prop,indeks_pembangunan_gender,kabu_kota_lengkap,level_ppkm_sep_21
Kota Jakarta Barat,0.61,0.14,110.9,4.25,DKI JAKARTA,95.16,Kota Jakarta Barat,L3
Kota Jakarta Utara,0.99,0.21,123.59,6.78,DKI JAKARTA,93.53,Kota Jakarta Utara,L3
Bogor,0.83,0.11,465.67,7.69,JAWA BARAT,89.23,Kabupaten Bogor,L3
Sukabumi,0.8,0.12,175.1,7.09,JAWA BARAT,87.37,Kabupaten Sukabumi,L2
Cianjur,1.38,0.27,234.47,10.36,JAWA BARAT,84.14,Kabupaten Cianjur,L2
Bandung,0.92,0.17,263.6,6.91,JAWA BARAT,93.95,Kabupaten Bandung,L3
Garut,0.97,0.15,262.78,9.98,JAWA BARAT,82.29,Kabupaten Garut,L2
Tasikmalaya,0.83,0.11,181.52,10.34,JAWA BARAT,86.02,Kabupaten Tasikmalaya,L3
Ciamis,0.92,0.16,91.39,7.62,JAWA BARAT,86.61,Kabupaten Ciamis,L2
Kuningan,2.41,0.62,139.2,12.82,JAWA BARAT,86.81,Kabupaten Kuningan,L2
Cirebon,1.3,0.24,247.94,11.24,JAWA BARAT,83.47,Kabupaten Cirebon,L3
Majalengka,1.41,0.25,138.21,11.43,JAWA BARAT,85.91,Kabupaten Majalengka,L2
Sumedang,1.72,0.42,118.38,10.26,JAWA BARAT,95.18,Kabupaten Sumedang,L3
Indramayu,2.18,0.56,220.31,12.7,JAWA BARAT,88.15,Kabupaten Indramayu,L2
Subang,1.29,0.25,149.81,9.31,JAWA BARAT,90.53,Kabupaten Subang,L2
Purwakarta,1.04,0.2,80.17,8.27,JAWA BARAT,86.56,Kabupaten Purwakarta,L2
Karawang,1.28,0.25,195.41,8.26,JAWA BARAT,90.12,Kabupaten Karawang,L2
Bekasi,0.72,0.18,186.3,4.82,JAWA BARAT,88.58,Kabupaten Bekasi,L3
Bandung Barat,1.4,0.25,179.46,10.49,JAWA BARAT,79.06,Kabupaten Bandung Barat,L3
Pangandaran,1.32,0.28,36.05,8.99,JAWA BARAT,89.78,Kabupaten Pangandaran,L2
Kota Bogor,1.08,0.26,75.04,6.68,JAWA BARAT,91.02,Kota Bogor,L3
Kota Sukabumi,1.17,0.22,25.42,7.7,JAWA BARAT,91.36,Kota Sukabumi,L3
Kota Bandung,0.61,0.13,100.02,3.99,JAWA BARAT,94.68,Kota Bandung,L3
Kota Cirebon,1.68,0.4,30.61,9.52,JAWA BARAT,94.39,Kota Cirebon,L3
Kota Bekasi,0.6,0.15,134.01,4.38,JAWA BARAT,92.95,Kota Bekasi,L3
Kota Depok,0.29,0.06,60.43,2.45,JAWA BARAT,93.01,Kota Depok,L3
Kota Cimahi,0.75,0.18,31.64,5.11,JAWA BARAT,92.01,Kota Cimahi,L3
Kota Tasikmalaya,1.75,0.39,86.13,12.97,JAWA BARAT,91.64,Kota Tasikmalaya,L3
Kota Banjar,0.7,0.12,11.16,6.09,JAWA BARAT,87.17,Kota Banjar,L3
Cilacap,0.95,0.13,198.6,11.46,JAWA TENGAH,86.69,Kabupaten Cilacap,L3
Banyumas,2.25,0.5,225.84,13.26,JAWA TENGAH,88.27,Kabupaten Banyumas,L3
Purbalingga,2.32,0.44,149.48,15.9,JAWA TENGAH,92.78,Kabupaten Purbalingga,L3
Banjarnegara,2.47,0.51,144.95,15.64,JAWA TENGAH,95.28,Kabupaten Banjarnegara,L2
Kebumen,2.62,0.55,211.09,17.59,JAWA TENGAH,93.05,Kabupaten Kebumen,L3
Purworejo,0.98,0.12,84.79,11.78,JAWA TENGAH,94.96,Kabupaten Purworejo,L3
Wonosobo,2.43,0.47,137.64,17.36,JAWA TENGAH,92.75,Kabupaten Wonosobo,L2
Magelang,1.23,0.2,146.34,11.27,JAWA TENGAH,91.81,Kabupaten Magelang,L3
Boyolali,1.3,0.23,100.59,10.18,JAWA TENGAH,94.19,Kabupaten Boyolali,L3
Klaten,1.66,0.31,151.83,12.89,JAWA TENGAH,96.17,Kabupaten Klaten,L3
Sukoharjo,0.97,0.21,68.89,7.68,JAWA TENGAH,96.49,Kabupaten Sukoharjo,L3
Wonogiri,1.08,0.18,104.37,10.86,JAWA TENGAH,91.08,Kabupaten Wonogiri,L3
Karanganyar,1.56,0.33,91.72,10.28,JAWA TENGAH,96.52,Kabupaten Karanganyar,L3
Sragen,2.18,0.53,119.38,13.38,JAWA TENGAH,91.62,Kabupaten Sragen,L3
Grobogan,1.17,0.18,172.26,12.46,JAWA TENGAH,86.14,Kabupaten Grobogan,L2
Blora,1.39,0.21,103.73,11.96,JAWA TENGAH,83.88,Kabupaten Blora,L2
Rembang,2.44,0.53,100.08,15.6,JAWA TENGAH,87.0,Kabupaten Rembang,L2
Pati,1.37,0.26,127.37,10.08,JAWA TENGAH,91.5,Kabupaten Pati,L2
Kudus,1.01,0.18,64.24,7.31,JAWA TENGAH,92.75,Kabupaten Kudus,L2
Jepara,0.6,0.07,91.14,7.17,JAWA TENGAH,90.99,Kabupaten Jepara,L2
Demak,1.97,0.5,146.87,12.54,JAWA TENGAH,90.9,Kabupaten Demak,L2
Semarang,0.96,0.16,79.88,7.51,JAWA TENGAH,96.38,Kabupaten Semarang,L2
Temanggung,0.86,0.11,77.33,9.96,JAWA TENGAH,95.31,Kabupaten Temanggung,L2
