,,,,
Nama Wilayah,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,Jumlah Penduduk Miskin Kab/Kota (Ribu Orang),Persentase Penduduk Miskin Menurut Kabupaten/Kota (Persen)
Pasuruan,1.15,0.23,151.43,9.26
Sidoarjo,0.96,0.26,127.05,5.59
Mojokerto,1.95,0.51,118.80,10.57
Jombang,1.73,0.40,125.94,9.94
Nganjuk,1.62,0.35,122.73,11.62
Madiun,1.63,0.35,78.30,11.46
Magetan,1.20,0.21,65.09,10.35
Ngawi,2.37,0.55,128.19,15.44
Bojonegoro,1.72,0.35,161.10,12.87
Tuban,2.27,0.48,187.13,15.91
Lamongan,2.71,0.78,164.68,13.85
Gresik,2.51,0.80,164.05,12.40
Bangkalan,4.25,1.29,204.00,20.56
Sampang,2.93,0.53,224.74,22.78
Pamekasan,1.89,0.37,129.41,14.60
Sumenep,4.33,1.30,220.23,20.18
Kota Kediri,0.96,0.17,22.19,7.69
Kota Blitar,0.98,0.22,11.10,7.78
Kota Malang,0.66,0.15,38.77,4.44
Kota Probolinggo,1.19,0.28,17.72,7.43
Kota Pasuruan,0.78,0.14,13.40,6.66
Kota Mojokerto,0.64,0.10,8.09,6.24
Kota Madiun,0.77,0.18,8.83,4.98
Kota Surabaya,0.87,0.24,145.67,5.02
Kota Batu,0.59,0.14,8.12,3.89
BANTEN,1.00,0.23,775.99,5.92
Pandeglang,1.00,0.16,120.44,9.92
Lebak,1.14,0.24,120.83,9.24
Tangerang,0.95,0.22,242.16,6.23
Serang,0.40,0.05,74.80,4.94
Kota Tangerang,0.74,0.15,118.22,5.22
Kota Cilegon,0.39,0.06,16.31,3.69
Kota Serang,0.57,0.10,42.24,6.06
Kota Tangerang Selatan,0.31,0.08,40.99,2.29
BALI,0.52,0.10,165.19,3.78
Jembrana,0.39,0.06,12.60,4.51
Tabanan,0.58,0.10,19.11,4.27
Badung,0.31,0.07,13.75,2.02
Gianyar,0.57,0.11,21.01,4.08
Klungkung,0.67,0.17,8.76,4.87
Bangli,0.30,0.04,9.56,4.19
Karang Asem,0.52,0.06,24.69,5.91
Buleleng,0.53,0.08,35.25,5.32
Kota Denpasar,0.25,0.05,20.48,2.14
NUSA TENGGARA BARAT,2.58,0.61,713.89,13.97
Lombok Barat,2.91,0.82,100.25,14.28
Lombok Tengah,1.42,0.26,128.10,13.44
Lombok Timur,1.84,0.42,183.84,15.24
Sumbawa,2.22,0.50,62.88,13.65
Dompu,1.65,0.34,30.97,12.16
Bima,2.41,0.65,71.32,14.49
Sumbawa Barat,2.81,0.91,20.20,13.34
Lombok Utara,7.09,2.58,59.86,26.99
Kota Mataram,1.86,0.56,41.80,8.47
Kota Bima,0.60,0.12,14.66,8.35
NUSA TENGGARA TIMUR,4.02,1.05,1153.76,20.90
Sumba Barat,5.56,1.52,36.95,28.17
Sumba Timur,6.20,1.95,77.30,29.65
Kupang,4.36,1.21,94.94,22.77
Timor Tengah Selatan,5.86,1.73,128.98,27.49
Timor Tengah Utara,3.75,0.90,56.98,22.28
Belu,2.68,0.68,34.18,15.37
Alor,2.92,0.58,43.55,21.09
Lembata,4.77,1.32,37.92,26.14
Flores Timur,1.61,0.40,27.89,10.84
Sikka,1.89,0.38,42.18,13.12
Ende,4.54,1.19,65.22,23.76
Ngada,2.40,0.63,20.62,12.51
Manggarai,4.53,1.46,69.52,20.34
Rote Ndao,5.36,1.35,48.77,27.54
Manggarai Barat,3.09,0.79,49.40,17.71
Sumba Tengah,6.57,1.57,25.37,34.49
Sumba Barat Daya,4.50,1.13,97.81,28.00
Nagekeo,1.70,0.32,18.51,12.61
Manggarai Timur,4.50,0.99,76.69,26.52
Sabu Raijua,5.88,1.57,30.14,30.18
Malaka,2.48,0.52,31.12,16.04
Kota Kupang,1.60,0.37,39.72,8.96
KALIMANTAN BARAT,1.01,0.23,366.77,7.17
Sambas,0.83,0.16,41.41,7.70
Bengkayang,1.06,0.24,17.11,6.62
Landak,1.54,0.38,42.36,11.12
Pontianak,0.41,0.05,13.18,4.95
Sanggau,0.82,0.21,21.16,4.46
Ketapang,1.61,0.39,53.45,10.29
Sintang,1.03,0.19,39.19,9.27
Kapuas Hulu,1.52,0.35,23.93,8.99
Sekadau,0.58,0.10,11.92,5.87
Melawi,1.63,0.40,25.34,12.04
Kayong Utara,1.13,0.22,10.90,9.56
Kubu Raya,0.62,0.14,25.90,4.42
Kota Pontianak,0.50,0.09,30.70,4.70
Kota Singkawang,0.48,0.09,10.23,4.53
KALIMANTAN TENGAH,0.80,0.20,132.94,4.82
Kotawaringin Barat,0.40,0.08,11.46,3.59
Kotawaringin Timur,0.87,0.16,26.64,5.62
Kapuas,0.78,0.19,18.17,5.04
Barito Selatan,0.89,0.26,6.12,4.45
Barito Utara,0.67,0.13,6.78,5.17
Sukamara,0.30,0.05,2.13,3.23
Lamandau,0.36,0.09,2.61,3.09
Seruyan,0.87,0.16,14.53,6.85
Katingan,0.51,0.09,8.23,4.79
Pulang Pisau,0.73,0.20,5.21,4.09
Gunung Mas,0.75,0.21,5.78,4.75
Barito Timur,0.55,0.08,7.88,6.09
Murung Raya,0.87,0.24,7.18,5.85
Kota Palangka Raya,0.44,0.08,10.23,3.44
KALIMANTAN SELATAN,0.70,0.16,187.87,4.38
Tanah Laut,0.58,0.12,14.79,4.26
Kota Baru,0.60,0.12,14.60,4.22
Banjar,0.26,0.04,15.12,2.55
Barito Kuala,0.81,0.21,14.25,4.51
Tapin,0.45,0.12,5.90,3.06
Hulu Sungai Selatan,0.51,0.09,12.39,5.17
Hulu Sungai Tengah,0.43,0.06,15.47,5.64
Hulu Sungai Utara,0.85,0.20,14.72,6.14
Tabalong,0.72,0.21,14.70,5.72
Tanah Bumbu,0.69,0.14,16.83,4.60
Balangan,0.88,0.24,7.06,5.32
Kota Banjarmasin,0.54,0.11,31.31,4.39
Kota Banjar Baru,0.48,0.10,10.75,4.01
KALIMANTAN TIMUR,1.02,0.24,230.27,6.10
Paser,1.04,0.21,26.77,9.23
Kutai Barat,1.23,0.28,13.78,9.29
Kutai Kartanegara,0.91,0.16,58.42,7.31
Kutai Timur,2.02,0.63,36.98,9.55
Berau,0.70,0.17,12.30,5.19
Penajam Paser Utara,0.87,0.17,11.93,7.36
Mahakam Hulu,1.46,0.29,3.26,11.44
Kota Balikpapan,0.38,0.12,17.02,2.57
Kota Samarinda,0.72,0.21,41.92,4.76
Kota Bontang,0.54,0.09,7.91,4.38
KALIMANTAN UTARA,0.84,0.17,51.79,6.80
Malinau,1.16,0.28,6.16,6.63
Bulungan,1.32,0.28,13.08,9.06
Tana Tidung,0.33,0.06,1.46,4.81
Nunukan,0.87,0.17,13.76,6.36
Kota Tarakan,0.77,0.15,17.33,6.24
SULAWESI UTARA,1.14,0.25,192.37,7.62
Bolaang Mongondow,0.87,0.15,18.07,7.27
Minahasa,0.82,0.17,24.95,7.30
Kepulauan Sangihe,1.29,0.25,14.64,11.14
Kepulauan Talaud,1.26,0.24,8.84,9.49
Minahasa Selatan,1.02,0.20,19.38,9.14
Minahasa Utara,0.98,0.19,14.33,7.00
Bolaang Mongondow Utara,0.83,0.14,6.82,8.41
Siau Tagulandang Biaro,0.83,0.14,5.95,8.94
Minahasa Tenggara,2.27,0.61,13.73,12.30
Bolaang Mongondow Selatan,1.65,0.33,8.53,12.77
Bolaang Mongondow Timur,0.94,0.20,4.30,5.88
Kota Manado,1.25,0.36,25.55,5.86
Kota Bitung,0.86,0.20,14.18,6.41
Kota Tomohon,0.96,0.25,6.06,5.60
Kota Kotamobagu,0.84,0.16,7.06,5.42
SULAWESI TENGAH,2.58,0.77,398.73,12.92
Banggai Kepulauan,1.99,0.47,16.70,14.04
Banggai,1.05,0.21,28.16,7.39
Morowali,2.48,0.67,16.50,13.43
Poso,2.53,0.68,40.20,15.45
Donggala,3.01,0.79,53.17,17.39
Toli-Toli,2.33,0.63,30.51,12.85
Buol,1.97,0.47,22.93,13.93
Parigi Moutong,3.49,1.22,78.76,15.85
Tojo Una-Una,3.27,1.03,25.43,16.39
Sigi,1.96,0.49,30.00,12.45
Banggai Laut,1.59,0.36,11.09,14.60
Morowali Utara,2.95,1.02,18.38,14.10
Kota Palu,0.97,0.22,26.89,6.80
SULAWESI SELATAN,1.53,0.39,776.83,8.72
Kepulauan Selayar,2.25,0.60,17.04,12.48
Bulukumba,0.71,0.14,30.00,7.10
Bantaeng,0.97,0.18,16.84,8.95
Jeneponto,2.60,0.68,53.24,14.58
Takalar,1.09,0.21,25.38,8.44
Gowa,1.18,0.30,57.68,7.38
Sinjai,1.34,0.36,22.06,9.00
Maros,1.45,0.34,34.62,9.74
Pangkajene Dan Kepulauan,2.52,0.71,47.12,13.96
Barru,1.31,0.36,14.44,8.26
Bone,1.59,0.36,81.33,10.68
Soppeng,0.83,0.16,17.23,7.59
Wajo,0.98,0.21,27.69,6.95
Sidenreng Rappang,0.82,0.19,15.36,5.05
Pinrang,1.27,0.34,33.56,8.86
Enrekang,1.61,0.34,25.25,12.17
Luwu,2.12,0.49,46.04,12.65
Tana Toraja,2.32,0.74,28.41,12.10
Luwu Utara,2.29,0.61,42.20,13.41
Luwu Timur,1.05,0.24,20.82,6.85
Toraja Utara,1.75,0.37,27.88,12.01
Kota Makassar,0.58,0.12,69.98,4.54
Kota Parepare,0.94,0.24,7.96,5.44
Kota Palopo,0.95,0.21,14.71,7.85
SULAWESI TENGGARA,2.04,0.53,301.82,11.00
Buton,1.94,0.41,13.68,13.21
Muna,1.86,0.46,28.73,12.83
Konawe,1.71,0.35,31.63,12.20
Kolaka,1.99,0.55,23.76,11.63
Konawe Selatan,1.77,0.41,34.22,10.74
Bombana,1.35,0.32,18.84,10.01
Wakatobi,2.73,0.73,13.75,14.31
Kolaka Utara,2.28,0.64,19.83,12.96
Buton Utara,2.34,0.61,9.13,14.10
Konawe Utara,2.92,0.86,8.78,13.53
Kolaka Timur,2.18,0.53,26.38,13.47
Konawe Kepulauan,2.56,0.60,5.88,17.01
Muna Barat,1.98,0.39,11.32,13.30
Buton Tengah,1.91,0.38,14.40,15.32
Buton Selatan,1.82,0.42,11.50,14.11
Kota Kendari,0.67,0.16,17.46,4.34
Kota Baubau,1.05,0.20,12.53,7.15
GORONTALO,2.67,0.65,185.02,15.22
Boalemo,2.79,0.67,31.63,18.57
Gorontalo,3.95,1.17,66.73,17.56
Pohuwato,2.64,0.54,28.92,17.62
Bone Bolango,2.99,0.77,25.72,15.81
Gorontalo Utara,2.09,0.44,19.56,16.88
Kota Gorontalo,0.61,0.10,12.46,5.59
SULAWESI BARAT,1.89,0.49,152.02,10.87
Majene,2.21,0.53,24.12,13.73
Polewali Mandar,2.74,0.79,68.18,15.26
Mamasa,1.71,0.31,21.86,13.38
Mamuju,1.06,0.24,20.65,6.92
Mamuju Utara,0.36,0.04,7.95,4.48
Mamuju Tengah,0.88,0.18,9.25,6.79
MALUKU,3.47,1.01,318.19,17.44
Maluku Tenggara Barat,5.90,1.64,30.74,27.11
Maluku Tenggara,4.26,1.02,22.59,22.57
Maluku Tengah,4.05,1.28,74.18,19.83
Buru,2.91,0.89,24.42,16.64
Kepulauan Aru,4.47,1.14,25.45,26.26
